subject	Task	FD
24699	Bao	0.1003149799999999
24699	Your Friend the Rat	0.07407975
24684	Bao	0.12097354499999999
24684	Your Friend the Rat	0.1292801
24683	Your Friend the Rat	0.1844472149999999
24683	Bao	0.16605572499999993
60295	Your Friend the Rat	0.1264843
60295	Bao	0.1440093999999999
24630	Your Friend the Rat	0.17615094999999975
24630	Bao	0.10402899925
24053	Your Friend the Rat	0.05687864999999995
24053	Bao	0.06740550000000001
24696	Your Friend the Rat	0.1182081925
24696	Bao	0.14810045
24663	Your Friend the Rat	0.1183336999999999
24663	Bao	0.147672300325
24702	Bao	0.11315865
24702	Your Friend the Rat	0.142907275
24697	Your Friend the Rat	0.08750966099999996
24697	Bao	0.07606479999999985
